Geography Name,Percent Units Built in 1939 or Before
GeoID_Name,pysb39b
36047095600,48.56
36047095800,21.94
36047096000,N/A
36047096200,63.16
36047096400,45.14
36047096600,51.36
36047096800,61.23
36047097000,53.18
36047097400,40.03
36047098200,14.95
36047098400,11.39
36047098600,35.68
36047098800,31.33
36047099000,70.32
36047099200,44.02
36047099400,44.8
36047099600,26.91
36047099800,16.58
36047100400,33.96
36047100600,27.73
36047100800,47.59
36047101000,69.83
36047101200,38.14
36047101400,19.21
36047101600,8.18
36047101800,13.13
36047102000,21.56
36047102200,35.31
36047102400,41.11
36047102600,38.19
36047102801,27.43
36047102802,N/A
36047103401,6.37
36047103402,N/A
36047105801,3.46
36047105804,2.28
36047107001,1.81
36047107002,N/A
36047107003,N/A
36047107800,1.84
36047109800,50.43
36047110400,37.72
36047110600,8.47
36047111000,21.88
36047111600,27.61
36047111800,37.62
36047112000,69.36
36047112200,44.23
36047112400,53.53
36047112600,57.97
36047112800,59.27
36047113000,40.24
36047113200,26.6
36047113400,20.29
36047114201,76.05
36047114202,73.24
36047114400,47.88
36047114600,72.69
36047115000,43.74
36047115200,35.35
36047115600,17.37
36047115800,64.31
36047116000,21.82
36047116200,48
36047116400,49.84
36047116600,36.38
36047116800,60.66
36047117000,60.83
36047117201,76.69
36047117202,65.16
36047117400,68.16
36047117601,56.09
36047117602,59.31
36047117800,73.07
36047118000,N/A
36047118201,86.8
36047118202,86.52
36047118400,66.04
36047118600,60.4
36047118800,51.71
36047119000,44.95
36047119200,23.77
36047119400,49.37
36047119600,43.83
36047119800,74.73
36047120000,50.34
36047120200,50.59
36047120801,29.26
36047120802,2.92
36047120803,0
36047121000,7.97
36047121400,1.08
36047122000,15.15
36047123700,15.92
36047150200,67.82
36047152200,54.14
36047990100,N/A
36061000100,N/A
36061000201,29.11
36061000202,17.02
36061000500,100
36061000600,36.63
36061000700,59.42
36061000800,84.71
36061000900,48.8
36061001001,3.94
36061001002,7.17
36061001200,19.85
36061001300,71.31
36061001401,1.81
36061001402,54.8
36061001501,24.62
36061001502,33.54
36061001600,44.42
36061001800,73.08
36061002000,16.48
36061002100,29.7
36061002201,21.59
36061002202,29.51
36061002400,11.66
36061002500,17.84
36061002601,42.42
36061002602,63.12
36061002700,26.32
36061002800,29.15
36061002901,50
36061002902,70.04
36061003001,60.48
36061003002,58.59
36061003100,21.15
36061003200,55.58
36061003300,56.12
36061003400,55.01
36061003601,39.93
36061003602,49.85
36061003700,45.88
36061003800,75.84
36061003900,52.73
36061004001,81.3
36061004002,82.66
36061004100,79.95
36061004200,37.88
36061004300,64.57
36061004400,6.58
36061004500,83.72
36061004700,73.43
36061004800,39.07
36061004900,78.35
36061005000,34.66
36061005200,56.63
36061005400,27.28
36061005501,14.58
36061005502,67.28
36061005600,57.28
36061005700,25.65
36061005800,19.44
36061005900,36.93
36061006000,3.37
36061006100,67.81
36061006200,0.24
36061006300,64.2
36061006400,44.54
