GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,apci,TimeFrame,GeoVintage,Source,Location
Census Tract,36005022702,NY,36005022702,36005022702,17480,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022703,NY,36005022703,36005022703,22329,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022800,NY,36005022800,36005022800,35088,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022901,NY,36005022901,36005022901,20127,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005022902,NY,36005022902,36005022902,20495,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023000,NY,36005023000,36005023000,20666,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023100,NY,36005023100,36005023100,13859,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023200,NY,36005023200,36005023200,24151,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023301,NY,36005023301,36005023301,21006,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023302,NY,36005023302,36005023302,14774,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023501,NY,36005023501,36005023501,14441,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023502,NY,36005023502,36005023502,21454,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023600,NY,36005023600,36005023600,22826,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023702,NY,36005023702,36005023702,19029,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023703,NY,36005023703,36005023703,12060,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023704,NY,36005023704,36005023704,16392,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023800,NY,36005023800,36005023800,26167,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023900,NY,36005023900,36005023900,13210,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024000,NY,36005024000,36005024000,27081,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024100,NY,36005024100,36005024100,17238,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024300,NY,36005024300,36005024300,16153,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024400,NY,36005024400,36005024400,30540,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024501,NY,36005024501,36005024501,16265,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024502,NY,36005024502,36005024502,23786,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024600,NY,36005024600,36005024600,31213,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024700,NY,36005024700,36005024700,28166,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024800,NY,36005024800,36005024800,28958,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024900,NY,36005024900,36005024900,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025000,NY,36005025000,36005025000,35388,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025100,NY,36005025100,36005025100,22356,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025200,NY,36005025200,36005025200,32675,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025300,NY,36005025300,36005025300,16792,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025400,NY,36005025400,36005025400,37018,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025500,NY,36005025500,36005025500,14569,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025600,NY,36005025600,36005025600,29062,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025700,NY,36005025700,36005025700,23296,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026100,NY,36005026100,36005026100,40758,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026300,NY,36005026300,36005026300,19280,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026400,NY,36005026400,36005026400,32421,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026500,NY,36005026500,36005026500,19049,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026601,NY,36005026601,36005026601,27922,2017-2021,2020,Census,"New York (City, 2020)"
