Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Per Capita Income,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,apci,TimeFrame,GeoVintage,Source,Location
Census Tract,36005028300,NY,36005028300,36005028300,16115,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005028400,NY,36005028400,36005028400,5870,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005028500,NY,36005028500,36005028500,19433,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005028600,NY,36005028600,36005028600,24127,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005028700,NY,36005028700,36005028700,19183,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005028800,NY,36005028800,36005028800,27174,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005028900,NY,36005028900,36005028900,15174,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005029300,NY,36005029300,36005029300,43256,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005029500,NY,36005029500,36005029500,29449,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005029600,NY,36005029600,36005029600,15611,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005029700,NY,36005029700,36005029700,34643,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005030000,NY,36005030000,36005030000,24271,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005030100,NY,36005030100,36005030100,33392,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005030200,NY,36005030200,36005030200,21868,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005030700,NY,36005030700,36005030700,49980,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005031000,NY,36005031000,36005031000,21942,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005031200,NY,36005031200,36005031200,24773,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005031400,NY,36005031400,36005031400,24703,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005031600,NY,36005031600,36005031600,20472,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005031700,NY,36005031700,36005031700,18127,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005031800,NY,36005031800,36005031800,22419,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005031900,NY,36005031900,36005031900,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005032000,NY,36005032000,36005032000,23067,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005032200,NY,36005032200,36005032200,21974,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005032300,NY,36005032300,36005032300,38806,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005032400,NY,36005032400,36005032400,12493,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005032800,NY,36005032800,36005032800,15011,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005032900,NY,36005032900,36005032900,35920,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005033000,NY,36005033000,36005033000,15764,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005033200,NY,36005033200,36005033200,16879,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005033300,NY,36005033300,36005033300,92821,2000,2000,Census,"New York (City, 2020)"
