change of median rent,College00_16,mdfami00_16,Geo_ID,NYC Neighborhood Tabulation Area name,,,GeoID_Name,"Per-Capita Income, with GEOID",GeoID_Name,Per cha of bla pop,,GeoID_Name,"Per-Capita Income, with GEOID",GeoID_Name,Per cha of bla pop
0.810546875,1.043,0.276542512,36005018500,Morrisania-Melrose,,,36005016900,18368,36005017902,51.32,,,,,
0.815517241,0.606,-0.129931917,36005018900,Highbridge,,,36005017100,N/A,36005018101,-15.58,,,,,
0.89569161,1.247,0.607016234,36005019300,Highbridge,,,36005017300,16638,36005018102,-18.31,,,,,
0.715617716,0.271,0.01985544,36005019400,Schuylerville-Throgs Neck-Edgewater Park,,,36005017500,14467,36005018301,-32.39,,,,,
0.671779141,1.202,0.623928523,36005019500,West Concourse,,,36005017701,15758,36005018302,-31.56,,,,,
0.682852807,0.640,0.1992996,36005019700,West Concourse,,,36005017702,21693,36005018400,1058.33,,,,,
0.882747069,1.422,0.566342905,36005019900,Highbridge,,,36005017901,18103,36005018500,15.85,,,,,
0.911003236,0.122,0.332650879,36005020000,Van Nest-Morris Park-Westchester Square,,,36005017902,18413,36005018900,-16.05,,,,,
0.787828947,0.629,0.385442444,36005020100,Highbridge,,,36005018101,17719,36005019300,-16.51,,,,,
0.72755418,0.432,0.14788484,36005020200,Westchester-Unionport,,,36005018102,18010,36005019400,235.4,,,,,
0.748691099,-0.004,0.222481928,36005020400,Westchester-Unionport,,,36005018301,31308,36005019500,1.4,,,,,
0.621301775,0.575,0.330929111,36005020501,University Heights-Morris Heights,,,36005018302,26633,36005019700,-19.35,,,,,
0.908548708,1.207,0.104562332,36005020502,University Heights-Morris Heights,,,36005018400,33416,36005019900,-16.91,,,,,
1.598958333,-0.036,0.8153131,36005020601,Westchester-Unionport,,,36005018501,25478,36005020000,9.28,,,,,
0.904424779,1.179,1.243137067,36005020900,West Concourse,,,36005018502,12033,36005020100,-14.69,,,,,
0.666666667,0.145,0.63370603,36005021001,Parkchester,,,36005018900,17382,36005020200,144.63,,,,,
0.686781609,0.609,0.916129214,36005021002,Parkchester,,,36005019300,14932,36005020400,36.65,,,,,
0.693200663,0.209,0.53849514,36005021100,Highbridge,,,36005019400,30019,36005020501,-35.18,,,,,
0.777286136,0.637,0.589434662,36005021200,Parkchester,,,36005019500,17596,36005020502,-13.62,,,,,
1.09375,2.448,0.12925216,36005021301,University Heights-Morris Heights,,,36005019700,14321,36005020601,0.34,,,,,
0.744680851,1.120,0.511618393,36005021302,Highbridge,,,36005019900,21932,36005020900,12.94,,,,,
1.157142857,1.505,0.674846626,36005021501,University Heights-Morris Heights,,,36005020000,18267,36005021001,-4.94,,,,,
0.803819444,1.744,0.515779872,36005021502,University Heights-Morris Heights,,,36005020100,20533,36005021002,2.52,,,,,
0.773722628,0.189,-0.271662552,36005021601,West Farms-Bronx River,,,36005020200,23567,36005021100,13.46,,,,,
0.737226277,0.565,0.220713168,36005021602,Parkchester,,,36005020400,22728,36005021200,-28.44,,,,,
0.879432624,0.055,0.365570811,36005021700,University Heights-Morris Heights,,,36005020501,13645,36005021301,-62.84,,,,,
0.756429652,0.306,0.450329732,36005021800,West Farms-Bronx River,,,36005020502,26003,36005021302,88.54,,,,,
0.935108153,0.157,0.1171594,36005021900,Highbridge,,,36005020601,25027,36005021501,1.49,,,,,
1.070945946,0.998,-0.202693125,36005022000,East Tremont,,,36005020900,19311,36005021502,-35.91,,,,,
0.765676568,1.564,0.345557953,36005022101,West Concourse,,,36005021001,30924,36005021601,24.74,,,,,
0.905940594,1.600,-0.014218474,36005022102,West Concourse,,,36005021002,30467,36005021602,-20.18,,,,,
0.697860963,-0.192,0.280893578,36005022200,Parkchester,,,36005021100,15498,36005021700,-2.18,,,,,
0.853046595,0.147,0.187167842,36005022300,West Concourse,,,36005021200,29472,36005021800,17.26,,,,,
0.759890859,0.673,0.365919283,36005022401,Pelham Parkway,,,36005021301,16507,36005021900,-35.55,,,,,
0.851296044,0.196,0.415159903,36005022403,Pelham Parkway,,,36005021302,13444,36005022000,-13.53,,,,,
0.63574352,0.367,0.413363567,36005022404,Pelham Parkway,,,36005021501,19433,36005022101,13.64,,,,,
0.683109118,0.663,0.429005059,36005022500,East Concourse-Concourse Village,,,36005021502,14450,36005022102,-11.94,,,,,
0.920133111,3.515,0.90315403,36005022701,Mount Hope,,,36005021601,22169,36005022200,25.15,,,,,
0.455904335,5.075,0.99969475,36005022702,Mount Hope,,,36005021602,25699,36005022300,-24.28,,,,,
0.837423313,1.023,0.761863676,36005022703,Mount Hope,,,36005021700,20694,36005022401,23.49,,,,,
0.851694915,0.128,0.296612348,36005022800,Pelham Parkway,,,36005021800,25613,36005022403,35.73,,,,,
0.674382716,1.287,-0.028045977,36005022901,Mount Hope,,,36005021900,19647,36005022404,64.81,,,,,
0.725239617,1.424,0.47156508,36005022902,Mount Hope,,,36005022000,24300,36005022500,6.83,,,,,
0.760719225,0.884,0.370492123,36005023000,Van Nest-Morris Park-Westchester Square,,,36005022101,14073,36005022701,62.39,,,,,
0.705627706,0.789,1.046815745,36005023100,Mount Hope,,,36005022102,13896,36005022702,-15.77,,,,,
0.635501355,0.764,0.598316458,36005023200,Van Nest-Morris Park-Westchester Square,,,36005022200,19676,36005022703,-47.16,,,,,
0.706730769,0.051,0.123805012,36005023301,Mount Hope,,,36005022300,14583,36005022800,46.14,,,,,
0.937219731,-0.269,-0.140840086,36005023302,Mount Hope,,,36005022401,31621,36005022901,7.68,,,,,
0.662241888,0.222,-0.043207993,36005023501,Mount Hope,,,36005022403,31920,36005022902,-17.81,,,,,
0.790619765,1.259,0.194891079,36005023502,Mount Hope,,,36005022404,31999,36005023000,10.57,,,,,
1.12836767,0.639,0.357438937,36005023600,Van Nest-Morris Park-Westchester Square,,,36005022500,20197,36005023100,7.64,,,,,
0.835403727,1.008,1.541962264,36005023702,Bedford Park-Fordham North,,,36005022701,20943,36005023200,85.19,,,,,
0.784073507,0.435,0.50500236,36005023703,Fordham South,,,36005022702,17480,36005023301,-47.67,,,,,
0.767228178,0.452,-0.036385087,36005023704,Fordham South,,,36005022703,22329,36005023302,-30.06,,,,,
0.975069252,0.262,0.27686998,36005023800,Van Nest-Morris Park-Westchester Square,,,36005022800,35088,36005023501,-50.45,,,,,
0.893333333,1.291,0.609597447,36005023900,Fordham South,,,36005022901,20127,36005023502,-26.35,,,,,
0.705479452,0.255,0.018061918,36005024000,Van Nest-Morris Park-Westchester Square,,,36005022902,20495,36005023600,22.5,,,,,
0.772652389,0.368,0.356122163,36005024100,Mount Hope,,,36005023000,20666,36005023702,-7.09,,,,,
0.920849421,-0.154,-0.048856644,36005024300,University Heights-Morris Heights,,,36005023100,13859,36005023703,-27.55,,,,,
0.844604317,0.735,0.366297436,36005024400,Van Nest-Morris Park-Westchester Square,,,36005023200,24151,36005023704,-19.56,,,,,
0.701149425,0.496,0.123830464,36005024501,University Heights-Morris Heights,,,36005023301,21006,36005023800,243.08,,,,,
0.822660099,1.939,0.270911302,36005024502,University Heights-Morris Heights,,,36005023302,14774,36005023900,-28.1,,,,,
0.840755735,0.132,0.326217817,36005024600,Pelham Parkway,,,36005023501,14441,36005024000,-18.68,,,,,
0.810240964,0.250,0.387434896,36005024700,University Heights-Morris Heights,,,36005023502,21454,36005024100,-8.77,,,,,
0.637795276,0.203,0.464083844,36005024800,Pelham Parkway,,,36005023600,22826,36005024300,-14.1,,,,,
0.699475066,0.676,0.813567224,36005025000,Pelham Parkway,,,36005023702,19029,36005024400,731.25,,,,,
0.671899529,1.254,-0.082715345,36005025100,University Heights-Morris Heights,,,36005023703,12060,36005024501,-16.85,,,,,
0.770595691,0.334,0.180351979,36005025200,Van Nest-Morris Park-Westchester Square,,,36005023704,16392,36005024502,-6.14,,,,,
0.825471698,0.820,0.595543285,36005025300,Kingsbridge Heights,,,36005023800,26167,36005024600,431.25,,,,,
0.734375,0.305,-0.104081633,36005025400,Van Nest-Morris Park-Westchester Square,,,36005023900,13210,36005024700,3.95,,,,,
0.680952381,0.266,0.402518951,36005025500,Kingsbridge Heights,,,36005024000,27081,36005024800,184.21,,,,,
0.855337079,-0.087,-0.060318208,36005025600,Van Nest-Morris Park-Westchester Square,,,36005024100,17238,36005024900,N/A,,,,,
0.812206573,0.429,0.535243673,36005025700,University Heights-Morris Heights,,,36005024300,16153,36005025000,N/A,,,,,
0.464419476,0.124,0.229224098,36005026100,Kingsbridge Heights,,,36005024400,30540,36005025100,-35.1,,,,,
0.632352941,-0.032,0.199558806,36005026300,Kingsbridge Heights,,,36005024501,16265,36005025200,74.67,,,,,
0.84869326,0.436,0.426747967,36005026400,Schuylerville-Throgs Neck-Edgewater Park,,,36005024502,23786,36005025300,-34.56,,,,,
0.765793529,0.748,0.737207804,36005026500,Kingsbridge Heights,,,36005024600,31213,36005025400,966.67,,,,,
1.067823344,0.265,0.379204688,36005026601,Pelham Bay-Country Club-City Island,,,36005024700,28166,36005025500,-39.11,,,,,
0.844135802,0.555,0.215270214,36005026602,Pelham Bay-Country Club-City Island,,,36005024800,28958,36005025600,228.06,,,,,
0.708571429,0.124,-0.007793399,36005026701,Van Cortlandt Village,,,36005024900,N/A,36005025700,-9.69,,,,,
0.704285714,-0.015,0.524449878,36005026702,Van Cortlandt Village,,,36005025000,35388,36005026100,5.88,,,,,
0.646003263,0.391,0.275307346,36005026900,Kingsbridge Heights,,,36005025100,22356,36005026300,-54.06,,,,,
0.926100629,0.253,0.478148435,36005027300,Van Cortlandt Village,,,36005025200,32675,36005026400,383.33,,,,,
0.652275379,0.196,0.516427496,36005027401,Pelham Bay-Country Club-City Island,,,36005025300,16792,36005026500,-56.4,,,,,
0.702450408,0.275,0.436450006,36005027402,Pelham Bay-Country Club-City Island,,,36005025400,37018,36005026601,N/A,,,,,
0.793577982,0.121,0.443746909,36005027700,Van Cortlandt Village,,,36005025500,14569,36005026602,59.81,,,,,
0.807142857,0.026,0.186463199,36005027900,Van Cortlandt Village,,,36005025600,29062,36005026701,-35.48,,,,,
0.799671593,0.146,0.45240648,36005028100,Van Cortlandt Village,,,36005025700,23296,36005026702,8.5,,,,,
0.682634731,0.309,-0.133382617,36005028300,Spuyten Duyvil-Kingsbridge,,,36005026100,40758,36005026900,-50.8,,,,,
1.089855072,0.718,0.3672706,36005028500,Spuyten Duyvil-Kingsbridge,,,36005026300,19280,36005027300,-14.7,,,,,
0.799507995,0.437,0.672708333,36005028600,Van Nest-Morris Park-Westchester Square,,,36005026400,32421,36005027401,N/A,,,,,
0.906743185,0.199,0.294570493,36005028700,Spuyten Duyvil-Kingsbridge,,,36005026500,19049,36005027402,N/A,,,,,
0.905637255,0.233,0.923691351,36005028800,Pelham Parkway,,,36005026601,27922,36005027600,N/A,,,,,
0.870514821,0.608,0.627652314,36005028900,Spuyten Duyvil-Kingsbridge,,,36005026602,26493,36005027700,-36.83,,,,,
0.439888164,0.127,0.777365681,36005029301,Spuyten Duyvil-Kingsbridge,,,36005026701,20797,36005027900,23.91,,,,,
0.845789972,0.054,0.213029466,36005029302,Spuyten Duyvil-Kingsbridge,,,36005026702,22378,36005028100,56.06,,,,,
0.841517857,0.352,0.982678601,36005029500,Spuyten Duyvil-Kingsbridge,,,36005026900,21667,36005028300,10.68,,,,,
