Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,"Employment in Management, Business, Science, and Arts Occupations",Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cocc_manbussciart,TimeFrame,GeoVintage,Source,Location
Census Tract,36005023502,NY,36005023502,36005023502,458,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023600,NY,36005023600,36005023600,175,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023702,NY,36005023702,36005023702,63,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023703,NY,36005023703,36005023703,153,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023704,NY,36005023704,36005023704,251,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023800,NY,36005023800,36005023800,319,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005023900,NY,36005023900,36005023900,394,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024000,NY,36005024000,36005024000,600,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024100,NY,36005024100,36005024100,613,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024300,NY,36005024300,36005024300,366,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024400,NY,36005024400,36005024400,389,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024501,NY,36005024501,36005024501,364,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024502,NY,36005024502,36005024502,210,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024600,NY,36005024600,36005024600,318,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024700,NY,36005024700,36005024700,306,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024800,NY,36005024800,36005024800,592,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005024900,NY,36005024900,36005024900,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025000,NY,36005025000,36005025000,425,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025100,NY,36005025100,36005025100,555,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025200,NY,36005025200,36005025200,657,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025300,NY,36005025300,36005025300,489,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025400,NY,36005025400,36005025400,388,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025500,NY,36005025500,36005025500,403,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025600,NY,36005025600,36005025600,211,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005025700,NY,36005025700,36005025700,199,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026100,NY,36005026100,36005026100,552,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026300,NY,36005026300,36005026300,341,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026400,NY,36005026400,36005026400,1008,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026500,NY,36005026500,36005026500,580,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026601,NY,36005026601,36005026601,361,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026602,NY,36005026602,36005026602,633,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026701,NY,36005026701,36005026701,514,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026702,NY,36005026702,36005026702,572,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005026900,NY,36005026900,36005026900,357,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027300,NY,36005027300,36005027300,1334,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027401,NY,36005027401,36005027401,1084,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027402,NY,36005027402,36005027402,988,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027600,NY,36005027600,36005027600,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027700,NY,36005027700,36005027700,520,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005027900,NY,36005027900,36005027900,1408,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028100,NY,36005028100,36005028100,794,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028300,NY,36005028300,36005028300,189,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028400,NY,36005028400,36005028400,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028500,NY,36005028500,36005028500,954,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028600,NY,36005028600,36005028600,218,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028700,NY,36005028700,36005028700,539,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028800,NY,36005028800,36005028800,671,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005028900,NY,36005028900,36005028900,649,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005029301,NY,36005029301,36005029301,637,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005029302,NY,36005029302,36005029302,1660,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005029500,NY,36005029500,36005029500,1522,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005029600,NY,36005029600,36005029600,461,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005029700,NY,36005029700,36005029700,1151,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030000,NY,36005030000,36005030000,1272,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030100,NY,36005030100,36005030100,450,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030201,NY,36005030201,36005030201,498,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030202,NY,36005030202,36005030202,815,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030701,NY,36005030701,36005030701,1898,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005030900,NY,36005030900,36005030900,879,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031000,NY,36005031000,36005031000,826,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031200,NY,36005031200,36005031200,410,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031400,NY,36005031400,36005031400,432,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031600,NY,36005031600,36005031600,378,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005031800,NY,36005031800,36005031800,305,2017-2021,2020,Census,"New York (City, 2020)"
