Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Black or African American Population,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,ppopbk,TimeFrame,GeoVintage,Source,Location
Census Tract,36005026500,NY,36005026500,36005026500,15.43,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005026601,NY,36005026601,36005026601,9.5,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005026602,NY,36005026602,36005026602,10.84,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005026701,NY,36005026701,36005026701,13.16,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005026702,NY,36005026702,36005026702,17.39,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005026900,NY,36005026900,36005026900,22.15,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005027300,NY,36005027300,36005027300,18.76,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005027401,NY,36005027401,36005027401,3.43,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005027402,NY,36005027402,36005027402,3.74,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005027600,NY,36005027600,36005027600,26.09,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005027700,NY,36005027700,36005027700,15.62,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005027900,NY,36005027900,36005027900,15.64,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005028100,NY,36005028100,36005028100,18.68,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005028300,NY,36005028300,36005028300,24.81,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005028400,NY,36005028400,36005028400,35.35,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005028500,NY,36005028500,36005028500,9.53,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005028600,NY,36005028600,36005028600,8.24,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005028700,NY,36005028700,36005028700,12.72,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005028800,NY,36005028800,36005028800,4.03,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005028900,NY,36005028900,36005028900,9.44,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005029301,NY,36005029301,36005029301,5.42,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005029302,NY,36005029302,36005029302,10.82,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005029500,NY,36005029500,36005029500,9.1,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005029600,NY,36005029600,36005029600,14.38,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005029700,NY,36005029700,36005029700,7.54,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005030000,NY,36005030000,36005030000,10.17,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005030100,NY,36005030100,36005030100,12.48,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005030201,NY,36005030201,36005030201,68.08,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005030202,NY,36005030202,36005030202,70.72,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005030701,NY,36005030701,36005030701,6.59,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005030900,NY,36005030900,36005030900,9.83,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005031000,NY,36005031000,36005031000,18.12,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005031200,NY,36005031200,36005031200,16.46,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005031400,NY,36005031400,36005031400,13.71,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005031600,NY,36005031600,36005031600,15.84,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005031800,NY,36005031800,36005031800,15.81,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005031900,NY,36005031900,36005031900,18.94,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005032300,NY,36005032300,36005032300,12.16,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005032400,NY,36005032400,36005032400,32.22,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005032600,NY,36005032600,36005032600,13.8,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005032800,NY,36005032800,36005032800,22.31,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005033000,NY,36005033000,36005033000,18.9,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005033201,NY,36005033201,36005033201,20.84,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005033202,NY,36005033202,36005033202,30.47,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005033400,NY,36005033400,36005033400,53.62,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005033500,NY,36005033500,36005033500,7.09,2020,2020,Census,"New York (City, 2020)"
