GeoID_Name,"Per-Capita Income, with GEOID"
36061014000,209247
36061014200,189559
36061014300,N/A
36061014401,150420
36061014402,105588
36061014500,147363
36061014601,114998
36061014602,100823
36061014700,131461
36061014801,130657
36061014802,116284
36061014900,131083
36061015001,156501
36061015002,184337
36061015101,17680
36061015102,123812
36061015200,87882
36061015301,128071
36061015302,131805
36061015401,139363
36061015402,76572
36061015403,73131
36061015501,172394
36061015502,111507
36061015601,74155
36061015602,82722
36061015700,133534
36061015801,127921
36061015802,58259
36061015900,123084
36061016001,258443
36061016002,93963
36061016100,127601
36061016200,27257
36061016300,143377
36061016400,23323
36061016500,141416
36061016600,40877
36061016700,150821
36061016800,33210
36061016900,133786
36061017000,27374
36061017100,136588
36061017200,26740
36061017300,118462
36061017401,43912
36061017402,45076
36061017500,130799
36061017700,97723
36061017800,38705
36061017900,126430
36061018000,31424
36061018100,120142
36061018200,22913
36061018300,101559
36061018400,28197
36061018500,94436
36061018600,21045
36061018700,93271
36061018800,37381
36061018900,29746
36061019000,61953
36061019100,106581
36061019200,13029
36061019300,51300
36061019400,22714
36061019500,84402
36061019600,27296
36061019701,52961
36061019702,47785
36061019800,72050
36061019900,62801
36061020000,56939
36061020101,48198
36061020102,58443
36061020300,18178
36061020500,61222
36061020600,31548
36061020701,44250
36061020800,59229
36061020901,19102
36061021000,27226
36061021100,49319
36061021200,51893
36061021303,33043
36061021400,51934
36061021500,37912
36061021600,40418
36061021703,N/A
36061021800,47773
36061021900,13623
36061022000,60874
36061022102,72367
36061022200,48152
36061022301,33262
36061022302,26706
36061022400,24533
36061022500,35606
36061022600,37670
36061022700,42115
36061022800,59814
36061022900,26577
36061023000,29311
36061023100,39110
36061023200,18404
36061023300,38407
36061023400,40969
36061023501,35414
36061023502,33026
36061023600,27117
36061023700,26591
36061023802,42787
36061023803,74050
36061023804,108438
36061023900,27236
36061024000,7476
36061024100,34894
36061024200,19522
36061024301,34067
36061024302,16092
36061024500,26104
36061024700,45397
36061024900,41485
36061025100,17965
36061025300,26308
36061025500,92339
36061025700,56745
36061025900,52827
36061026100,19908
36061026300,25084
36061026500,39286
36061026700,27799
36061026900,22036
36061027100,31947
36061027300,59485
36061027500,202961
36061027700,19362
36061027900,32734
36061028100,68217
36061028300,29127
36061028500,22055
36061028700,32303
36061029100,27972
36061029300,22184
36061029500,41256
36061029700,1924
36061029900,19646
36061030300,43890
36061030700,60160
36061030900,19336
36061031100,N/A
36061031703,180412
36061031704,140856
36061031900,N/A
36081000101,76040
36081000102,92922
36081000103,N/A
36081000104,9727
36081000200,29452
36081000400,23592
36081000600,24200
36081000701,84546
36081000702,66383
36081000800,28045
36081001000,30383
36081001200,32840
36081001400,42564
36081001600,34517
36081001800,29798
36081001901,90669
36081001902,99027
36081001903,94271
36081002000,26890
36081002200,28543
36081002400,20742
36081002500,20792
36081002600,38132
36081002800,29393
36081003000,28269
36081003100,50958
36081003200,29225
36081003301,82757
36081003302,25024
36081003400,29803
36081003600,26587
36081003700,N/A
36081003800,33457
36081003900,25015
36081004001,34174
36081004002,17944
36081004200,27277
36081004300,15064
36081004401,28154
36081004500,52703
36081004700,30560
36081005000,N/A
36081005100,36828
36081005200,105728
36081005300,48592
36081005400,29563
36081005500,55373
36081005700,40934
36081005800,29756
36081005900,48738
36081006100,54328
36081006201,47315
36081006202,30469
36081006300,86990
36081006501,53741
36081006502,47957
36081006900,60927
36081007100,60602
36081007300,62453
36081007500,75000
36081007700,49097
36081007900,46544
36081008100,66323
36081008300,42911
36081008500,27784
36081008600,29034
36081008700,18508
36081008800,33275
36081009100,58811
36081009400,22668
36081009500,47022
36081009600,32560
36081009700,60187
36081009800,26699
36081009900,N/A
36081010000,35452
36081010100,46463
36081010200,30393
36081010300,40804
36081010400,26806
36081010500,31519
36081010600,24673
36081010701,N/A
36081010800,26379
36081011000,26021
36081011100,42868
36081011200,29183
36081011300,53362
36081011400,26537
36081011500,55258
36081011600,24340
36081011700,54480
36081011800,29958
36081011900,38985
36081012000,24613
36081012100,51155
36081012200,28665
36081012301,54886
36081012400,25942
36081012500,46482
36081012601,26791
36081012602,27927
36081012800,36287
36081013000,40225
36081013200,80068
36081013400,46476
36081013500,52585
36081013600,56435
36081013700,59047
36081013800,34643
36081014000,42884
36081014100,48145
36081014201,27378
36081014202,24156
36081014300,38736
36081014400,23821
36081014500,35968
36081014700,46411
36081014800,27158
36081014900,35642
36081015000,30680
36081015100,48546
36081015200,30796
36081015300,45242
36081015400,27772
36081015500,53086
36081015600,28781
36081015700,37526
36081015801,30639
36081015802,29582
36081015900,44087
36081016100,34976
36081016300,24200
36081016400,30540
36081016600,25040
36081016800,30505
36081016900,43734
36081017000,27972
36081017101,N/A
36081017102,18394
36081017200,26532
36081017400,30591
36081017600,24192
36081017800,26978
36081017901,33561
36081017902,N/A
36081018000,26171
36081018101,37620
36081018102,48901
36081018200,25724
36081018300,42629
36081018401,28259
36081018402,27064
36081018501,44640
36081018502,54674
36081018600,28349
36081018700,34013
36081018800,30212
36081018900,33182
36081019000,31311
36081019200,31290
36081019400,35625
36081019600,25219
36081019800,30231
36081019901,20288
36081019902,N/A
36081019903,N/A
36081020200,32037
36081020400,23992
36081020500,26605
36081020600,22857
36081020800,29317
36081021200,27504
36081021400,24357
36081021601,63587
36081021602,23514
36081021603,N/A
36081021900,N/A
36081022001,37723
36081022002,46517
36081022900,N/A
36081023000,40532
36081023200,35681
36081023501,32708
36081023502,27219
36081023600,21683
36081023800,22942
36081024000,21936
36081024300,35476
36081024500,30864
36081024600,N/A
36081024700,27713
36081024900,29448
36081025100,44298
36081025301,37056
36081025302,32486
36081025401,20619
36081025402,16816
